State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Ambikapur RTO - CG15,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,1,3
Chhattisgarh,Ambikapur RTO - CG15,L3P,ATUL AUTO LTD,0,0,1,0,1,4,1,2,1,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,L3P,BAXY LTD,1,1,2,0,0,1,0,0,0,0,1,0
Chhattisgarh,Ambikapur RTO - CG15,L3P,BEST WAY AGENCIES PVT LTD,0,3,5,0,3,3,1,1,3,1,3,4
Chhattisgarh,Ambikapur RTO - CG15,L3P,CONTINENTAL ENGINES PVT LTD,0,3,2,0,0,0,0,0,0,0,3,1
Chhattisgarh,Ambikapur RTO - CG15,L3P,DELTA AUTOCORP LTD,3,0,0,0,0,0,0,0,0,1,0,1
Chhattisgarh,Ambikapur RTO - CG15,L3P,DILLI ELECTRIC AUTO PVT LTD,1,1,1,0,0,3,0,1,5,3,4,2
Chhattisgarh,Ambikapur RTO - CG15,L3P,G.K E-VEHICLS INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,2
Chhattisgarh,Ambikapur RTO - CG15,L3P,JAJODIA COMMODITIES PVT LTD,17,4,6,9,10,7,6,5,2,1,4,0
Chhattisgarh,Ambikapur RTO - CG15,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,3,0,6,0,0,1,0,0,0,0,3,2
Chhattisgarh,Ambikapur RTO - CG15,L3P,LOHIA AUTO INDUSTRIES,1,1,0,0,1,3,0,0,0,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,L3P,MAHINDRA LAST MILE MOBILITY LTD,3,4,4,4,3,2,1,3,2,4,0,14
Chhattisgarh,Ambikapur RTO - CG15,L3P,MINI METRO EV L.L.P,0,0,0,4,0,0,0,0,0,0,0,1
Chhattisgarh,Ambikapur RTO - CG15,L3P,M/S SHRIRAM AUTO TECH PVT LTD,0,6,0,0,0,0,0,4,0,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,L3P,OGATA MOTORS INDIA PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,L3P,SAERA ELECTRIC AUTO PVT LTD,8,13,15,5,18,14,12,12,7,11,14,7
Chhattisgarh,Ambikapur RTO - CG15,L3P,SKS TRADE INDIA PVT LTD,0,0,0,0,0,0,0,0,1,0,0,1
Chhattisgarh,Ambikapur RTO - CG15,L3P,TERRA MOTORS INDIA PVT LTD,0,0,3,0,2,1,0,0,0,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,L3P,UNIQUE INTERNATIONAL,0,1,0,0,1,0,4,0,0,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,L3P,U.P. TELELINKS LIMITED,0,0,0,0,0,0,0,0,0,0,0,1
Chhattisgarh,Ambikapur RTO - CG15,L3P,YC ELECTRIC VEHICLE,6,7,5,8,6,7,7,6,9,7,6,2
