State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Chhattisgarh,Ambikapur RTO - CG15,ICE,BAJAJ AUTO LTD,198,175,198,211,181,140,7,"1,110",0,0,0
Chhattisgarh,Ambikapur RTO - CG15,ICE,CLASSIC LEGENDS PVT LTD,2,3,2,0,5,0,0,12,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,ICE,HERO MOTOCORP LTD,709,709,749,618,614,491,6,"3,896",0,0,0
Chhattisgarh,Ambikapur RTO - CG15,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,780,569,717,629,570,610,6,"3,881",0,0,0
Chhattisgarh,Ambikapur RTO - CG15,ICE,INDIA YAMAHA MOTOR PVT LTD,49,32,21,40,36,33,2,213,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,ICE,PIAGGIO VEHICLES PVT LTD,1,0,0,2,0,0,0,3,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),74,55,51,46,61,38,0,325,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,10,5,10,11,13,10,0,59,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,Ambikapur RTO - CG15,ICE,TVS MOTOR COMPANY LTD,331,312,398,338,297,254,6,"1,936",0,0,0
