State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Balod DTO - CG24,E2W,ATHER ENERGY LTD,1,0,2,0,0,0,0,0,2,0,0,0
Chhattisgarh,Balod DTO - CG24,E2W,BAJAJ AUTO LTD,1,2,2,0,0,1,2,1,3,4,8,1
Chhattisgarh,Balod DTO - CG24,E2W,BGAUSS AUTO PRIVATE LIMITED,10,6,10,1,3,3,5,5,1,1,1,1
Chhattisgarh,Balod DTO - CG24,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Chhattisgarh,Balod DTO - CG24,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,2,0,1,2,1,2,1,1,1,0,0,3
Chhattisgarh,Balod DTO - CG24,E2W,HERO MOTOCORP LTD,0,1,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Balod DTO - CG24,E2W,IVOOMI INNOVATION PVT LTD,0,0,0,0,2,0,0,0,0,0,0,0
Chhattisgarh,Balod DTO - CG24,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,1,0,0,0,0,0
Chhattisgarh,Balod DTO - CG24,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Balod DTO - CG24,E2W,OKAYA EV PVT LTD,1,1,1,0,2,0,0,1,0,1,1,0
Chhattisgarh,Balod DTO - CG24,E2W,OKINAWA AUTOTECH PVT LTD,1,1,2,2,0,0,1,0,0,0,0,0
Chhattisgarh,Balod DTO - CG24,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,9,4,22,14,8,16,13,5,5,16,6,2
Chhattisgarh,Balod DTO - CG24,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,0,0,1,0,3,0
Chhattisgarh,Balod DTO - CG24,E2W,TVS MOTOR COMPANY LTD,6,5,2,1,2,4,3,5,0,6,7,1
Chhattisgarh,Balod DTO - CG24,E2W,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),0,0,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,Balod DTO - CG24,E2W,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),0,0,0,0,2,0,0,0,0,0,0,0
Chhattisgarh,Balod DTO - CG24,E2W,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),0,1,1,0,0,0,0,0,0,0,0,0
