State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Bemetara DTO - CG25,L3P,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,2,4,3,3,3,2
Chhattisgarh,Bemetara DTO - CG25,L3P,BAXY LTD,2,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,BEST WAY AGENCIES PVT LTD,3,3,1,0,0,0,0,1,0,0,1,0
Chhattisgarh,Bemetara DTO - CG25,L3P,CONTINENTAL ENGINES PVT LTD,1,0,2,1,1,0,0,0,0,0,3,0
Chhattisgarh,Bemetara DTO - CG25,L3P,ENERGY ELECTRIC VEHICLES,0,0,0,0,0,0,0,0,0,0,1,0
Chhattisgarh,Bemetara DTO - CG25,L3P,EXIDE INDUSTRIES LTD,1,0,0,1,1,0,1,1,0,1,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,GAGAN AUTOMOTIVES,0,0,1,0,0,0,0,2,0,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,G.K E-VEHICLS INDUSTRIES PVT LTD,2,0,2,0,4,2,8,3,3,6,4,2
Chhattisgarh,Bemetara DTO - CG25,L3P,INDIA SAFE ENTERPRISE,0,0,0,0,1,0,9,6,2,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,RAYON ENGINEERS,0,0,0,0,0,0,0,0,0,3,5,1
Chhattisgarh,Bemetara DTO - CG25,L3P,RICHFORD ALLIANZ PVT LTD,0,0,0,0,0,0,0,0,3,3,2,1
Chhattisgarh,Bemetara DTO - CG25,L3P,SAERA ELECTRIC AUTO PVT LTD,0,0,3,4,2,1,2,4,0,0,1,1
Chhattisgarh,Bemetara DTO - CG25,L3P,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,2,0,0,0,1,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,SHAKTI AUTO GREEN,0,0,1,0,0,0,0,1,0,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,0,0,0,0,0,1,0,0,1
Chhattisgarh,Bemetara DTO - CG25,L3P,YC ELECTRIC VEHICLE,1,0,2,6,5,16,19,4,4,3,3,1
Chhattisgarh,Bemetara DTO - CG25,L3P,ZENTHIUM EV PVT LTD,0,0,2,1,3,2,8,0,1,0,0,1
