State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Chhattisgarh,Bemetara DTO - CG25,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,1,2,2,0,3,0,8,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,B24 ROKET EV,0,1,0,0,0,0,0,1,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,BEST WAY AGENCIES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,CONTINENTAL ENGINES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,G.K E-VEHICLS INDUSTRIES PVT LTD,1,3,3,0,0,0,0,7,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,KHALSAE-VEHICLES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,RAYON ENGINEERS,2,7,3,5,2,3,0,22,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,RICHFORD ALLIANZ PVT LTD,5,2,4,7,5,9,0,32,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,SAERA ELECTRIC AUTO PVT LTD,3,2,1,0,2,2,1,11,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,1,0,0,1,0,0,0,2,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,YC ELECTRIC VEHICLE,4,0,2,1,1,5,0,13,0,0,0
Chhattisgarh,Bemetara DTO - CG25,L3P,ZENTHIUM EV PVT LTD,0,0,1,0,0,0,0,1,0,0,0
