State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Bilaspur RTO - CG10,ICE,BAJAJ AUTO LTD,446,382,412,415,345,325,315,276,247,663,804,195
Chhattisgarh,Bilaspur RTO - CG10,ICE,BMW INDIA PVT LTD,0,0,0,1,0,2,0,1,1,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,ICE,CLASSIC LEGENDS PVT LTD,10,10,15,9,10,9,8,8,0,25,25,11
Chhattisgarh,Bilaspur RTO - CG10,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,0,0,0,0,1,0,0,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,ICE,HERO MOTOCORP LTD,712,709,785,952,800,738,718,566,414,"1,260","1,570",405
Chhattisgarh,Bilaspur RTO - CG10,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,930,827,936,994,962,928,"1,037",941,812,"2,115","1,761",592
Chhattisgarh,Bilaspur RTO - CG10,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,ICE,INDIA YAMAHA MOTOR PVT LTD,75,87,69,67,64,54,58,59,42,94,94,66
Chhattisgarh,Bilaspur RTO - CG10,ICE,PIAGGIO VEHICLES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),0,0,0,0,0,0,0,0,0,0,0,1
Chhattisgarh,Bilaspur RTO - CG10,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),167,132,136,177,122,106,121,121,92,344,226,76
Chhattisgarh,Bilaspur RTO - CG10,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,78,96,58,100,72,69,95,66,65,185,135,60
Chhattisgarh,Bilaspur RTO - CG10,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,ICE,TVS MOTOR COMPANY LTD,265,212,260,337,269,219,261,227,217,555,439,215
