State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Bilaspur RTO - CG10,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,3,6,7,0,3,4,3,7,1
Chhattisgarh,Bilaspur RTO - CG10,L3P,ATUL AUTO LTD,24,18,14,9,12,20,20,21,6,14,18,13
Chhattisgarh,Bilaspur RTO - CG10,L3P,ATUT SANGAM,10,22,12,12,10,13,1,4,3,1,2,1
Chhattisgarh,Bilaspur RTO - CG10,L3P,BAXY LTD,0,0,3,9,5,4,15,14,3,3,3,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,BEST WAY AGENCIES PVT LTD,1,2,4,8,12,10,12,8,5,6,4,2
Chhattisgarh,Bilaspur RTO - CG10,L3P,BSERAIL ENGINEERING PVT LTD,0,0,0,0,0,0,3,1,5,2,2,1
Chhattisgarh,Bilaspur RTO - CG10,L3P,CHAMPION POLY PLAST,0,0,0,0,0,0,0,0,0,0,0,2
Chhattisgarh,Bilaspur RTO - CG10,L3P,CONTINENTAL ENGINES PVT LTD,2,1,3,1,1,2,0,0,1,4,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,DELTA AUTOCORP LTD,0,0,0,0,0,0,0,0,0,0,2,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,DILLI ELECTRIC AUTO PVT LTD,1,1,0,0,5,1,1,3,0,0,1,3
Chhattisgarh,Bilaspur RTO - CG10,L3P,ELITE AUTO ENGINEERS PVT LTD,4,6,0,3,0,6,0,0,0,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,ENERGY ELECTRIC VEHICLES,0,0,0,0,0,0,0,0,0,0,0,3
Chhattisgarh,Bilaspur RTO - CG10,L3P,EXIDE INDUSTRIES LTD,0,3,0,0,0,0,0,1,0,1,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,EXTRA FAST SOLUTIONS,0,15,12,26,18,9,17,16,4,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,GAGAN AUTOMOTIVES,41,20,25,15,15,27,40,37,24,9,34,31
Chhattisgarh,Bilaspur RTO - CG10,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,6,8,9,12,20,16,4
Chhattisgarh,Bilaspur RTO - CG10,L3P,G.K E-VEHICLS INDUSTRIES PVT LTD,7,14,11,5,6,12,9,6,5,10,3,2
