State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Bilaspur RTO - CG10,L5P,ATUL GREENTECH PRIVATE LIMITED,0,0,0,0,0,0,0,8,1,6,2,3
Chhattisgarh,Bilaspur RTO - CG10,L5P,CONTINENTAL ENGINES PVT LTD,0,0,0,0,0,0,0,0,0,2,0,0
Chhattisgarh,Bilaspur RTO - CG10,L5P,EXTRA FAST SOLUTIONS,20,0,0,0,0,0,0,0,13,24,13,20
Chhattisgarh,Bilaspur RTO - CG10,L5P,GODAWARI ELECTRIC MOTORS PVT LTD,1,1,3,0,0,2,1,3,4,0,3,4
Chhattisgarh,Bilaspur RTO - CG10,L5P,MAHINDRA LAST MILE MOBILITY LTD,45,39,46,23,28,30,45,41,34,89,45,25
Chhattisgarh,Bilaspur RTO - CG10,L5P,MAHINDRA & MAHINDRA LIMITED,0,2,1,0,1,0,1,0,0,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L5P,OMEGA SEIKI PVT LTD,0,0,0,0,0,0,0,0,6,4,15,1
Chhattisgarh,Bilaspur RTO - CG10,L5P,PIAGGIO VEHICLES PVT LTD,11,14,17,3,5,6,11,16,5,18,15,3
Chhattisgarh,Bilaspur RTO - CG10,L5P,TI CLEAN MOBILITY PVT LTD,0,0,0,0,0,2,10,3,2,4,10,2
Chhattisgarh,Bilaspur RTO - CG10,L5P,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,2
