State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Chhattisgarh,Bilaspur RTO - CG10,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,3,1,0,0,0,0,0,4,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,ATUL AUTO LTD,10,6,10,3,9,6,0,44,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,ATUT SANGAM,1,3,0,0,3,0,0,7,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,BAXY LTD,2,0,1,0,0,0,0,3,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,BEST WAY AGENCIES PVT LTD,5,5,4,2,3,4,0,23,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,BSERAIL ENGINEERING PVT LTD,4,3,3,5,4,3,0,22,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,DELTA AUTOCORP LTD,1,0,0,0,0,1,1,3,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,DEV MOTORS,0,0,0,0,0,4,0,4,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,DILLI ELECTRIC AUTO PVT LTD,0,2,4,4,3,4,0,17,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,ENERGY ELECTRIC VEHICLES,0,0,0,0,2,0,0,2,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,EXIDE INDUSTRIES LTD,0,0,0,2,0,0,0,2,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,EXTRA FAST SOLUTIONS,0,0,0,0,1,15,1,17,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,GAGAN AUTOMOTIVES,6,9,6,4,3,2,0,30,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,12,5,8,3,5,3,0,36,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,G.K E-VEHICLS INDUSTRIES PVT LTD,3,1,0,4,2,1,0,11,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,HOTAGE INDIA,7,2,1,1,1,1,1,14,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,JESSUN TECHNO PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,KHALSAE-VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,3,1,1,1,4,1,1,12,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,LECTRIX E VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,LOHIA AUTO INDUSTRIES,0,0,1,1,0,1,0,3,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,LUXUS GREEN MOBILITY PVT LTD,0,1,0,1,2,3,0,7,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,MASTO INDUSTRIES PVT LTD,4,1,0,0,0,0,0,5,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,MINI METRO EV L.L.P,5,10,3,7,3,3,0,31,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,MOVE STONE SERVICES PVT LTD,5,2,7,4,8,1,0,27,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,RAYON ENGINEERS,0,3,0,0,0,0,0,3,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,SAERA ELECTRIC AUTO PVT LTD,1,0,0,5,1,0,0,7,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,SAHNIANAND E VEHICLES PVT LTD,1,1,0,3,1,3,0,9,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,SKS TRADE INDIA PVT LTD,4,2,1,0,1,4,2,14,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,SUPERECO AUTOMOTIVE CO,0,1,0,2,0,0,0,3,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,TERRA MOTORS INDIA PVT LTD,2,3,0,1,0,0,0,6,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,1,2,0,3,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,YC ELECTRIC VEHICLE,5,3,5,1,10,6,0,30,0,0,0
Chhattisgarh,Bilaspur RTO - CG10,L3P,ZENTHIUM EV PVT LTD,0,0,0,2,1,0,0,3,0,0,0
