State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,DURG RTO - CG7,ICE,BAJAJ AUTO LTD,307,222,207,258,237,197,220,233,179,402,473,157
Chhattisgarh,DURG RTO - CG7,ICE,BMW INDIA PVT LTD,0,2,1,2,0,2,0,2,3,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,CLASSIC LEGENDS PVT LTD,0,1,1,0,0,1,2,0,0,2,1,2
Chhattisgarh,DURG RTO - CG7,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,0,0,0,0,0,2,0,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,HERO MOTOCORP LTD,804,620,679,655,634,648,629,604,412,"1,142","1,795",600
Chhattisgarh,DURG RTO - CG7,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,064",891,985,"1,248","1,046","1,059","1,151",961,939,"1,773","2,819",851
Chhattisgarh,DURG RTO - CG7,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,0,0,0,1,1,0,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,INDIA YAMAHA MOTOR PVT LTD,50,44,40,44,35,49,43,34,27,66,69,25
Chhattisgarh,DURG RTO - CG7,ICE,NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,PIAGGIO VEHICLES PVT LTD,0,1,1,0,1,0,0,1,1,1,0,0
Chhattisgarh,DURG RTO - CG7,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),78,71,73,89,64,53,73,66,57,244,82,70
Chhattisgarh,DURG RTO - CG7,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,74,47,51,64,72,60,71,52,60,80,124,46
Chhattisgarh,DURG RTO - CG7,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,0,1,0,0,0,0,0,1,0,0
Chhattisgarh,DURG RTO - CG7,ICE,TVS MOTOR COMPANY LTD,422,328,336,386,317,309,331,264,291,714,449,304
