State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,DURG RTO - CG7,L3P,AAHANA COMMERCE PVT LTD,0,0,0,0,0,0,0,0,0,0,4,1
Chhattisgarh,DURG RTO - CG7,L3P,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,0,1,0,1,1,0,0
Chhattisgarh,DURG RTO - CG7,L3P,ATUL AUTO LTD,1,0,0,1,4,0,3,5,4,3,2,0
Chhattisgarh,DURG RTO - CG7,L3P,AVON CYCLES LTD,2,2,0,1,2,0,1,2,1,1,0,2
Chhattisgarh,DURG RTO - CG7,L3P,B24 ROKET EV,0,0,0,0,0,0,0,0,0,1,0,2
Chhattisgarh,DURG RTO - CG7,L3P,BAXY LTD,0,6,0,1,0,0,1,1,0,2,0,0
Chhattisgarh,DURG RTO - CG7,L3P,BEST WAY AGENCIES PVT LTD,18,10,9,8,7,16,9,13,10,11,13,6
Chhattisgarh,DURG RTO - CG7,L3P,CHAMPION POLY PLAST,0,2,1,1,0,1,2,0,0,1,3,0
Chhattisgarh,DURG RTO - CG7,L3P,CITADEL ENTERPRISES(OPC) PVT LTD,1,2,0,0,0,0,0,0,3,0,1,0
Chhattisgarh,DURG RTO - CG7,L3P,CONTINENTAL ENGINES PVT LTD,0,0,0,0,2,0,0,0,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,0,1,1,2
Chhattisgarh,DURG RTO - CG7,L3P,ENERGY ELECTRIC VEHICLES,15,14,4,10,7,6,5,6,6,0,2,3
Chhattisgarh,DURG RTO - CG7,L3P,E ROYCE MOTORS INDIA PVT LTD,0,0,0,10,0,0,0,0,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,EXIDE INDUSTRIES LTD,0,2,0,0,0,5,6,6,7,2,5,3
Chhattisgarh,DURG RTO - CG7,L3P,GAGAN AUTOMOTIVES,0,0,0,0,1,0,0,0,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,G.K E-VEHICLS INDUSTRIES PVT LTD,8,7,3,10,13,10,14,6,7,19,3,6
Chhattisgarh,DURG RTO - CG7,L3P,HOOGHLY MOTORS PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,HOTAGE INDIA,2,1,1,2,1,0,3,0,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,J. S. AUTO (P) LTD,0,0,1,0,0,0,0,0,0,0,1,0
Chhattisgarh,DURG RTO - CG7,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,5,11,8,2,4,3,1,1,1,1,5,0
Chhattisgarh,DURG RTO - CG7,L3P,KRISHNA ENGINEERING WORKS,0,0,0,0,2,0,0,2,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,KRISHNA VEHICALS,0,0,0,0,1,0,0,1,1,2,0,0
Chhattisgarh,DURG RTO - CG7,L3P,KUKU AUTOMOTIVES,0,1,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,LOHIA AUTO INDUSTRIES,0,1,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,MINI METRO EV L.L.P,0,0,4,9,3,2,0,0,0,6,2,2
Chhattisgarh,DURG RTO - CG7,L3P,RICHFORD ALLIANZ PVT LTD,0,0,0,0,0,0,0,4,1,3,3,1
Chhattisgarh,DURG RTO - CG7,L3P,RUTBA PRODUCT PVT LTD,0,0,0,0,2,0,2,3,1,0,0,1
Chhattisgarh,DURG RTO - CG7,L3P,SAERA ELECTRIC AUTO PVT LTD,6,8,6,8,10,7,11,8,10,21,6,12
Chhattisgarh,DURG RTO - CG7,L3P,SAHNIANAND E VEHICLES PVT LTD,4,0,2,1,1,1,5,0,0,1,0,0
Chhattisgarh,DURG RTO - CG7,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,SHAKTI AUTO GREEN,0,0,0,0,0,1,0,1,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,SHRIRAJ ELECTRIC VEHICLES,0,3,4,4,7,4,5,2,6,0,2,0
Chhattisgarh,DURG RTO - CG7,L3P,SKS TRADE INDIA PVT LTD,1,2,1,2,1,0,3,4,4,6,4,6
Chhattisgarh,DURG RTO - CG7,L3P,SUPERTECH EV LIMITED,2,1,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,TERRA MOTORS INDIA PVT LTD,0,0,1,2,1,1,7,1,7,1,4,1
Chhattisgarh,DURG RTO - CG7,L3P,TOP TEAM MACHINES PVT LTD,0,4,1,3,5,5,0,0,4,1,1,0
Chhattisgarh,DURG RTO - CG7,L3P,TRISHIKA INDUSTRIES,0,0,1,1,0,0,0,0,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,3,2,5,1,0,1,6,4,1
Chhattisgarh,DURG RTO - CG7,L3P,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,0,5,6,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,VIMAL UNIVERSAL TRADE PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,YC ELECTRIC VEHICLE,16,17,13,17,16,18,27,27,18,28,18,11
Chhattisgarh,DURG RTO - CG7,L3P,ZENTHIUM EV PVT LTD,0,1,6,6,4,7,5,2,2,10,12,5
Chhattisgarh,DURG RTO - CG7,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,0,0,0,1,0,0,0,1
