State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Chhattisgarh,DURG RTO - CG7,ICE,BAJAJ AUTO LTD,249,225,160,234,176,178,10,"1,232",0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,BMW INDIA PVT LTD,1,0,1,1,0,2,0,5,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,CLASSIC LEGENDS PVT LTD,0,0,1,1,0,0,0,2,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,1,0,0,0,0,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,HERO MOTOCORP LTD,871,630,748,865,673,670,26,"4,483",0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,214",952,"1,119","1,162","1,070","1,107",103,"6,727",0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,INDIA YAMAHA MOTOR PVT LTD,44,34,33,43,39,34,0,227,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,PIAGGIO VEHICLES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),70,87,93,113,90,77,4,534,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,80,50,71,87,73,81,5,447,0,0,0
Chhattisgarh,DURG RTO - CG7,ICE,TVS MOTOR COMPANY LTD,511,356,355,452,373,458,26,"2,531",0,0,0
