State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Chhattisgarh,DURG RTO - CG7,L3P,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,3,3,0,6,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,AAHANA COMMERCE PVT LTD,1,5,5,0,0,5,0,16,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,A.V.AUTOMOTIVES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,2,0,0,0,0,0,2,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,AVON CYCLES LTD,1,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,B24 ROKET EV,1,0,2,2,1,0,0,6,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,BAXY LTD,1,1,0,1,2,0,0,5,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,BEST WAY AGENCIES PVT LTD,6,6,5,2,7,6,0,32,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,BIG BULL TRADER PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,CHAMPION POLY PLAST,4,0,0,0,0,0,0,4,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,CITADEL ENTERPRISES(OPC) PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,DILLI ELECTRIC AUTO PVT LTD,0,1,1,0,0,0,0,2,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,ENERGY ELECTRIC VEHICLES,5,1,4,3,1,1,0,15,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,EXIDE INDUSTRIES LTD,2,3,3,2,0,2,0,12,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,G.K E-VEHICLS INDUSTRIES PVT LTD,14,3,7,8,14,14,0,60,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,HOOGHLY MOTORS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,HOTAGE INDIA,3,0,1,0,0,0,0,4,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,KHALSAE-VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,2,3,4,0,9,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,KRISHNA ENGINEERING WORKS,0,0,0,0,1,1,0,2,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,MINI METRO EV L.L.P,2,4,1,3,1,0,0,11,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,PLAUDIT TECHNO INDIA PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,RICHFORD ALLIANZ PVT LTD,6,2,5,1,2,3,0,19,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,RUTBA PRODUCT PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,SAERA ELECTRIC AUTO PVT LTD,16,3,14,8,13,10,0,64,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,SHAKTI AUTO GREEN,2,0,0,1,0,0,0,3,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,SHRIRAJ ELECTRIC VEHICLES,3,2,1,2,0,1,0,9,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,SKS TRADE INDIA PVT LTD,6,1,4,0,2,4,0,17,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,TERRA MOTORS INDIA PVT LTD,3,3,1,1,5,0,0,13,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,TOP TEAM MACHINES PVT LTD,1,2,0,0,0,0,0,3,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,1,4,6,1,0,2,0,14,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,YC ELECTRIC VEHICLE,12,10,12,17,19,15,0,85,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,ZENTHIUM EV PVT LTD,0,1,6,3,4,0,0,14,0,0,0
Chhattisgarh,DURG RTO - CG7,L3P,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,0,0,0,0,1,0,0,1,0,0,0
