State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Dhamtari DTO - CG5,E2W,ATHER ENERGY LTD,1,2,3,0,0,0,1,0,1,0,3,1
Chhattisgarh,Dhamtari DTO - CG5,E2W,BAJAJ AUTO LTD,0,0,0,0,2,8,14,19,21,39,41,21
Chhattisgarh,Dhamtari DTO - CG5,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Dhamtari DTO - CG5,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,7,2,3,10,3,4,1,4,1,1,12,0
Chhattisgarh,Dhamtari DTO - CG5,E2W,HERO MOTOCORP LTD,0,0,0,0,1,0,1,0,0,0,0,0
Chhattisgarh,Dhamtari DTO - CG5,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,4,4,11,1,0,1,0,1,2,2,0,0
Chhattisgarh,Dhamtari DTO - CG5,E2W,KYTE ENERGY PVT. LTD.,3,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Dhamtari DTO - CG5,E2W,OKAYA EV PVT LTD,1,5,9,2,0,0,1,0,0,1,0,0
Chhattisgarh,Dhamtari DTO - CG5,E2W,OKINAWA AUTOTECH PVT LTD,5,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Dhamtari DTO - CG5,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,15,19,25,8,20,19,20,15,11,43,14,5
Chhattisgarh,Dhamtari DTO - CG5,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Chhattisgarh,Dhamtari DTO - CG5,E2W,TVS MOTOR COMPANY LTD,0,1,46,24,20,28,34,36,26,108,30,34
Chhattisgarh,Dhamtari DTO - CG5,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,4,1,2,3,0,1,0
Chhattisgarh,Dhamtari DTO - CG5,E2W,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),1,1,0,0,0,0,0,0,0,0,0,0
