State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,ATHER ENERGY LTD,0,1,3,0,0,1,1,0,0,3,5,1
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,BAJAJ AUTO LTD,4,4,5,4,1,2,23,32,36,40,82,16
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,3,3,4
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,4,1,1,5,2,0,0,3,8,4,0
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,HERO ELECTRIC VEHICLES PVT. LTD,3,2,1,0,0,1,0,0,0,0,1,0
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,HERO MOTOCORP LTD,1,0,1,0,2,0,2,1,0,2,1,0
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,KAINING (HONGKONG) (IMPORTER:RAILIES MOTO),0,0,0,0,0,0,0,3,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,1,0,0,0,0,0,0,0,1,1,0
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,OKAYA EV PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,OKINAWA AUTOTECH PVT LTD,4,5,6,1,5,4,3,2,1,0,0,1
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,30,30,42,41,28,67,58,28,19,66,38,16
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,REVOLT INTELLICORP PVT LTD,1,1,0,3,2,0,0,0,1,0,2,0
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,ROWWET MOBILITY PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,E2W,TVS MOTOR COMPANY LTD,0,0,0,0,3,1,3,3,2,17,23,8
