State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,ATUL AUTO LTD,1,0,0,0,0,0,0,1,0,0,0,1
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,BAXY LTD,0,0,0,0,0,0,1,0,0,2,1,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,CONTINENTAL ENGINES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,1,0,0,0,0,1,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,EXIDE INDUSTRIES LTD,0,0,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,EXTRA FAST SOLUTIONS,0,0,0,0,0,1,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,G.K E-VEHICLS INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,3
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,HOTAGE INDIA,1,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,MINI METRO EV L.L.P,0,0,0,0,0,0,0,0,0,0,3,2
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,1,1,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,0,0,1,0,0,0,1,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3G,SUPERTECH EV LIMITED,0,1,1,0,0,1,0,0,0,0,0,0
