State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,ATUL AUTO LTD,1,0,2,2,0,2,0,11,0,1,2,1
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,ATUT SANGAM,0,2,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,BAXY LTD,0,0,1,15,0,0,10,2,7,7,6,2
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,CONTINENTAL ENGINES PVT LTD,0,0,2,0,0,1,0,0,0,0,0,1
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,DILLI ELECTRIC AUTO PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,EXTRA FAST SOLUTIONS,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,G.K E-VEHICLS INDUSTRIES PVT LTD,0,0,0,0,0,1,1,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,G.K. RICKSHAW PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,HOTAGE INDIA,0,0,0,0,0,0,1,1,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,MASTO INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,MINI METRO EV L.L.P,0,0,0,0,0,0,0,0,0,0,3,4
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,M.K. ENTERPRISES,0,0,0,0,0,1,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,3,1,1,1,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,TERRA MOTORS INDIA PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,YC ELECTRIC VEHICLE,0,0,0,0,0,0,0,0,1,0,0,0
