State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Chhattisgarh,Janjgir Champa DTO - CG11,ICE,BAJAJ AUTO LTD,639,598,675,596,576,534,33,"3,651",0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,ICE,CLASSIC LEGENDS PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,ICE,HERO MOTOCORP LTD,886,756,965,935,816,893,41,"5,292",0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,758,638,973,808,773,787,40,"4,777",0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,ICE,INDIA YAMAHA MOTOR PVT LTD,15,6,14,6,6,9,1,57,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),57,43,62,41,37,41,1,282,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,4,3,8,0,2,3,0,20,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,ICE,TVS MOTOR COMPANY LTD,227,173,253,224,230,231,2,"1,340",0,0,0
