State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,ATUL AUTO LTD,1,7,3,0,1,2,0,14,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,BAXY LTD,1,7,2,2,3,4,0,19,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,CONTINENTAL ENGINES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,DELTA AUTOCORP LTD,0,0,0,1,0,0,0,1,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,HOTAGE INDIA,1,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,KHALSAE-VEHICLES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,MINI METRO EV L.L.P,0,1,4,2,0,1,0,8,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,SAERA ELECTRIC AUTO PVT LTD,1,0,0,0,0,1,0,2,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,SAHNIANAND E VEHICLES PVT LTD,0,2,0,1,1,0,0,4,0,0,0
Chhattisgarh,Janjgir Champa DTO - CG11,L3P,TERRA MOTORS INDIA PVT LTD,0,0,1,0,0,0,0,1,0,0,0
