State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,KANKER DTO - CG19,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,0,0,1,0
Chhattisgarh,KANKER DTO - CG19,E2W,BAJAJ AUTO LTD,0,0,0,0,1,0,0,3,2,4,11,9
Chhattisgarh,KANKER DTO - CG19,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,1,0,0,0,0,0
Chhattisgarh,KANKER DTO - CG19,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,0,8,2
Chhattisgarh,KANKER DTO - CG19,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,0,1,0,1,1,1,0,1,2,1,0
Chhattisgarh,KANKER DTO - CG19,E2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,KANKER DTO - CG19,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,KANKER DTO - CG19,E2W,OKAYA EV PVT LTD,0,2,3,0,0,0,2,0,1,0,0,0
Chhattisgarh,KANKER DTO - CG19,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,1,5,4,5,6,3,2,3,0,7,0,0
Chhattisgarh,KANKER DTO - CG19,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Chhattisgarh,KANKER DTO - CG19,E2W,TVS MOTOR COMPANY LTD,0,0,3,1,0,0,0,18,18,47,29,19
Chhattisgarh,KANKER DTO - CG19,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,4,2,2,2,0,1,0,0,0,0,0,0
