State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,KAWARDHA DTO - CG9,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,1,0,0
Chhattisgarh,KAWARDHA DTO - CG9,L3G,BAXY LTD,0,0,0,2,2,1,0,0,0,3,0,0
Chhattisgarh,KAWARDHA DTO - CG9,L3G,CONTINENTAL ENGINES PVT LTD,0,1,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,KAWARDHA DTO - CG9,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,0,0,0,2
Chhattisgarh,KAWARDHA DTO - CG9,L3G,G.K E-VEHICLS INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,2,2,0
Chhattisgarh,KAWARDHA DTO - CG9,L3G,GREEN TECHNOLOGIES,0,0,0,0,0,2,0,0,0,0,0,0
Chhattisgarh,KAWARDHA DTO - CG9,L3G,MOVE STONE SERVICES PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Chhattisgarh,KAWARDHA DTO - CG9,L3G,SAERA ELECTRIC AUTO PVT LTD,2,2,1,1,5,2,0,0,0,0,0,0
Chhattisgarh,KAWARDHA DTO - CG9,L3G,SUPERTECH EV LIMITED,0,0,0,0,1,0,2,1,0,0,0,0
Chhattisgarh,KAWARDHA DTO - CG9,L3G,YC ELECTRIC VEHICLE,0,0,0,0,0,0,0,0,0,0,2,0
