State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Korba DTO - CG12,ICE,BAJAJ AUTO LTD,299,264,240,270,223,209,231,211,172,368,598,135
Chhattisgarh,Korba DTO - CG12,ICE,BMW INDIA PVT LTD,0,0,1,0,0,0,0,0,0,1,0,0
Chhattisgarh,Korba DTO - CG12,ICE,CLASSIC LEGENDS PVT LTD,1,1,1,2,0,0,0,0,1,0,0,0
Chhattisgarh,Korba DTO - CG12,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),1,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Korba DTO - CG12,ICE,HERO MOTOCORP LTD,907,770,808,778,811,738,701,606,495,"1,153","2,268",446
Chhattisgarh,Korba DTO - CG12,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,800,648,702,621,726,670,689,661,569,957,"1,850",446
Chhattisgarh,Korba DTO - CG12,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,0,0,0,0,1,0,0,1,0
Chhattisgarh,Korba DTO - CG12,ICE,INDIA YAMAHA MOTOR PVT LTD,16,41,30,31,38,31,26,29,23,45,79,15
Chhattisgarh,Korba DTO - CG12,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),78,73,69,74,74,65,70,57,64,177,143,59
Chhattisgarh,Korba DTO - CG12,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,2,1,2,0,3,2,1,0,0,1,3,1
Chhattisgarh,Korba DTO - CG12,ICE,TVS MOTOR COMPANY LTD,154,138,242,188,224,174,192,185,143,246,400,111
