State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Mungeli DTO - CG28,E2W,ATHER ENERGY LTD,0,1,1,0,0,0,1,0,0,0,0,0
Chhattisgarh,Mungeli DTO - CG28,E2W,BAJAJ AUTO LTD,0,3,0,0,0,1,1,2,1,8,19,3
Chhattisgarh,Mungeli DTO - CG28,E2W,BGAUSS AUTO PRIVATE LIMITED,0,1,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Mungeli DTO - CG28,E2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,0,0,0,1,3
Chhattisgarh,Mungeli DTO - CG28,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Mungeli DTO - CG28,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,0,0,0,0,1,0,0,0,0,0,0
Chhattisgarh,Mungeli DTO - CG28,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,1,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Mungeli DTO - CG28,E2W,HERO MOTOCORP LTD,0,0,0,0,0,1,0,2,2,6,2,0
Chhattisgarh,Mungeli DTO - CG28,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,1,5,0,0,2,0,0,1,1,1,1
Chhattisgarh,Mungeli DTO - CG28,E2W,OKAYA EV PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Mungeli DTO - CG28,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Chhattisgarh,Mungeli DTO - CG28,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,2,10,10,4,4,6,9,1,6,13,5,2
Chhattisgarh,Mungeli DTO - CG28,E2W,TVS MOTOR COMPANY LTD,0,0,0,0,0,0,0,0,0,1,0,0
Chhattisgarh,Mungeli DTO - CG28,E2W,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),0,0,0,1,2,2,0,0,0,1,0,0
Chhattisgarh,Mungeli DTO - CG28,E2W,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),1,0,0,0,0,0,0,0,0,0,0,0
