State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Raipur RTO - CG4,L5P,ADM TECHNOLOGIES PVT. LTD.,1,1,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,ATUL AUTO LTD,20,15,14,10,15,13,13,14,5,6,9,6
Chhattisgarh,Raipur RTO - CG4,L5P,ATUL GREENTECH PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,1,1,2
Chhattisgarh,Raipur RTO - CG4,L5P,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,AVON CYCLES LTD,0,0,1,0,1,0,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,BAJAJ AUTO LTD,18,18,26,3,12,17,12,16,7,9,21,11
Chhattisgarh,Raipur RTO - CG4,L5P,BAXY LTD,1,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,CITADEL ENTERPRISES(OPC) PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,CONTINENTAL ENGINES PVT LTD,2,1,0,0,2,0,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,EXTRA FAST SOLUTIONS,2,0,0,0,0,0,3,0,3,0,3,2
Chhattisgarh,Raipur RTO - CG4,L5P,GODAWARI ELECTRIC MOTORS PVT LTD,1,1,3,1,0,0,0,1,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,GREEN TECHNOLOGIES,3,1,0,0,0,1,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,KAPTECH INDIA PVT LTD,16,8,15,7,13,16,13,11,5,12,10,2
Chhattisgarh,Raipur RTO - CG4,L5P,LOHIA AUTO INDUSTRIES,0,0,0,0,1,0,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,MAHINDRA ELECTRIC MOBILITY LIMITED,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,MAHINDRA LAST MILE MOBILITY LTD,57,81,95,34,46,66,99,90,60,92,113,51
Chhattisgarh,Raipur RTO - CG4,L5P,MAHINDRA & MAHINDRA LIMITED,0,0,1,0,0,0,0,0,0,0,1,0
Chhattisgarh,Raipur RTO - CG4,L5P,MLR AUTO LTD,0,0,0,2,0,0,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,OMEGA SEIKI PVT LTD,0,2,2,1,1,0,1,0,0,6,4,2
Chhattisgarh,Raipur RTO - CG4,L5P,PACE AGRO PRIVATE LIMITED,0,0,0,0,0,0,1,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,PIAGGIO VEHICLES PVT LTD,7,5,6,1,4,0,3,3,1,0,1,1
Chhattisgarh,Raipur RTO - CG4,L5P,SAHNIANAND E VEHICLES PVT LTD,13,4,12,17,10,0,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,SPEEGO VEHICLES CO PVT LTD,1,1,1,0,2,3,1,1,1,1,2,1
Chhattisgarh,Raipur RTO - CG4,L5P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Chhattisgarh,Raipur RTO - CG4,L5P,TI CLEAN MOBILITY PVT LTD,0,0,0,0,1,0,1,0,2,0,2,1
Chhattisgarh,Raipur RTO - CG4,L5P,UNIQUE INTERNATIONAL,0,0,0,1,4,5,0,5,2,4,3,0
Chhattisgarh,Raipur RTO - CG4,L5P,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,1,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,YC ELECTRIC VEHICLE,4,3,5,0,0,1,0,0,0,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,ZENIAK INNOVATION INDIA LTD,0,1,0,0,0,0,0,0,0,0,0,0
