State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Chhattisgarh,Raipur RTO - CG4,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,4,1,4,2,3,3,0,17,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,A.V.AUTOMOTIVES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,B24 ROKET EV,0,1,0,0,0,0,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,BEST WAY AGENCIES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,0,1,1,0,2,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,BIG BULL TRADER PVT LTD,0,1,2,4,2,0,0,9,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,CHAMPION POLY PLAST,0,0,0,0,0,2,0,2,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,DELTA AUTOCORP LTD,0,0,0,0,0,2,0,2,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,DEVAM ELECTRIC VEHICLES PVT LTD,2,0,0,0,2,0,0,4,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,DILLI ELECTRIC AUTO PVT LTD,1,4,1,2,0,0,0,8,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,0,0,1,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,ENTICE IMPEX PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,EXTRA FAST SOLUTIONS,0,0,0,0,0,2,0,2,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,GAGAN AUTOMOTIVES,0,0,0,0,0,1,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,G.K E-VEHICLS INDUSTRIES PVT LTD,21,24,15,14,19,16,0,109,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,HOTAGE INDIA,0,0,0,0,0,1,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,0,0,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,KRISHNA ENGINEERING WORKS,0,0,1,0,0,0,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,KUKU AUTOMOTIVES,0,0,0,9,0,0,0,9,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,LOHIA AUTO INDUSTRIES,2,0,9,0,2,2,0,15,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,MAA SHAKTI EXIM PVT LTD,0,1,3,2,0,1,0,7,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,MASTO INDUSTRIES PVT LTD,0,0,2,0,0,0,0,2,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,SAERA ELECTRIC AUTO PVT LTD,6,2,1,2,2,0,0,13,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,SAHNIANAND E VEHICLES PVT LTD,14,5,7,5,8,14,0,53,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,1,8,7,11,10,10,1,48,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,SHAKTI AUTO GREEN,1,1,0,0,0,1,0,3,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,SKS TRADE INDIA PVT LTD,0,1,0,0,0,1,0,2,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,SUPERTECH EV LIMITED,0,0,0,1,0,0,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,UNIQUE ENTERPRISES,3,0,0,0,0,0,0,3,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,U.P. TELELINKS LIMITED,0,0,0,0,3,0,0,3,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,15,6,10,8,9,11,0,59,0,0,0
Chhattisgarh,Raipur RTO - CG4,L3G,YC ELECTRIC VEHICLE,4,3,5,5,5,4,0,26,0,0,0
