State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Chhattisgarh,Raipur RTO - CG4,L5P,ADM TECHNOLOGIES PVT. LTD.,0,0,0,1,0,0,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,ATUL AUTO LTD,5,1,3,2,2,2,0,15,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,ATUL GREENTECH PRIVATE LIMITED,3,1,3,0,0,1,0,8,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,BAJAJ AUTO LTD,14,7,13,17,26,28,0,105,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,BAXY LTD,0,0,0,0,0,1,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,EULER MOTORS PVT LTD,0,1,0,0,2,0,0,3,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,EXTRA FAST SOLUTIONS,3,0,3,2,1,0,0,9,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,30,11,1,0,0,42,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,KAPTECH INDIA PVT LTD,6,2,4,2,5,5,0,24,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,MAHINDRA ELECTRIC MOBILITY LIMITED,0,0,0,1,0,2,0,3,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,MAHINDRA LAST MILE MOBILITY LTD,67,48,65,49,80,94,8,411,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,MAHINDRA & MAHINDRA LIMITED,0,0,0,0,0,1,0,1,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,OMEGA SEIKI PVT LTD,2,2,2,1,2,1,0,10,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,TI CLEAN MOBILITY PVT LTD,2,3,1,1,2,3,0,12,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,TVS MOTOR COMPANY LTD,0,5,15,12,20,28,0,80,0,0,0
Chhattisgarh,Raipur RTO - CG4,L5P,UNIQUE INTERNATIONAL,1,0,0,1,1,1,1,5,0,0,0
