State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Rajnandgaon ARTO - CG8,ICE,BAJAJ AUTO LTD,273,247,275,299,270,275,239,165,149,306,523,161
Chhattisgarh,Rajnandgaon ARTO - CG8,ICE,CLASSIC LEGENDS PVT LTD,0,1,1,1,1,0,0,1,0,0,1,0
Chhattisgarh,Rajnandgaon ARTO - CG8,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,0,0,0,0,1,0,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,ICE,HERO MOTOCORP LTD,753,629,820,961,791,754,596,442,320,961,"1,724",449
Chhattisgarh,Rajnandgaon ARTO - CG8,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,685,505,591,739,669,548,564,534,427,947,"1,924",482
Chhattisgarh,Rajnandgaon ARTO - CG8,ICE,INDIA YAMAHA MOTOR PVT LTD,26,23,22,36,17,9,14,14,14,44,44,7
Chhattisgarh,Rajnandgaon ARTO - CG8,ICE,PIAGGIO VEHICLES PVT LTD,1,1,0,1,0,0,0,0,1,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),37,28,22,33,24,19,28,18,20,80,24,12
Chhattisgarh,Rajnandgaon ARTO - CG8,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,25,30,28,26,22,26,28,24,19,28,45,15
Chhattisgarh,Rajnandgaon ARTO - CG8,ICE,TVS MOTOR COMPANY LTD,278,260,247,361,317,249,247,233,238,370,470,218
