State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,ALLFINE INDUSTRIES PVT LTD,8,2,8,1,6,7,9,6,6,3,3,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,ATUL AUTO LTD,0,3,2,6,2,3,4,2,6,3,2,3
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,BAXY LTD,0,0,0,0,0,0,0,1,0,1,1,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,BEST WAY AGENCIES PVT LTD,3,4,9,5,0,6,7,6,4,1,3,3
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,CONTINENTAL ENGINES PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,DELTA AUTOCORP LTD,0,0,0,0,0,0,0,0,1,0,1,1
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,1,0,0,0,0,0,1,1,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,ENERGY ELECTRIC VEHICLES,8,5,7,8,2,1,7,2,1,1,2,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,EXIDE INDUSTRIES LTD,0,0,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,GAGAN AUTOMOTIVES,2,3,2,2,2,1,6,2,1,2,3,1
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,G.K E-VEHICLS INDUSTRIES PVT LTD,1,0,1,2,0,2,7,1,0,0,1,1
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,HOTAGE INDIA,0,0,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,KHALSAE-VEHICLES PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,4,5,0,0,0,0,0,0,1,2,4
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,MINI METRO EV L.L.P,0,0,1,2,1,1,0,0,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,RICHFORD ALLIANZ PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,SAERA ELECTRIC AUTO PVT LTD,7,3,6,5,7,10,12,13,4,8,13,8
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,2,0,4,0,0,0,0,0,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,SKS TRADE INDIA PVT LTD,0,0,0,0,0,0,2,3,1,1,1,1
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,TERRA MOTORS INDIA PVT LTD,1,1,2,0,5,2,4,1,10,6,8,2
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,0,1,0,2,0,0,2,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,VIMAL UNIVERSAL TRADE PVT LTD,0,0,0,0,0,4,4,0,0,0,0,0
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,YC ELECTRIC VEHICLE,3,5,14,5,5,10,8,5,5,7,11,2
Chhattisgarh,Rajnandgaon ARTO - CG8,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,3,8,11,3,3,3,9,6,4,11,9,6
