State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Surajpur DTO - CG29,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,1,9,12,3
Chhattisgarh,Surajpur DTO - CG29,E2W,BAJAJ AUTO LTD,2,2,1,0,1,0,2,0,0,0,0,1
Chhattisgarh,Surajpur DTO - CG29,E2W,BOUNCE ELECTRIC 1 PVT LTD,2,4,2,0,0,0,0,0,1,0,1,0
Chhattisgarh,Surajpur DTO - CG29,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,6,3,3,0,10,6,0,0,0,0,0,0
Chhattisgarh,Surajpur DTO - CG29,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,0,0,2,4,0
Chhattisgarh,Surajpur DTO - CG29,E2W,OKINAWA AUTOTECH PVT LTD,0,1,5,2,2,1,4,8,1,10,17,4
Chhattisgarh,Surajpur DTO - CG29,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,11,13,14,9,9,14,6,9,3,13,9,3
Chhattisgarh,Surajpur DTO - CG29,E2W,REVOLT INTELLICORP PVT LTD,1,0,0,0,0,1,1,0,0,0,1,0
Chhattisgarh,Surajpur DTO - CG29,E2W,TVS MOTOR COMPANY LTD,0,0,0,1,0,1,0,0,0,1,1,0
Chhattisgarh,Surajpur DTO - CG29,E2W,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),1,2,0,4,0,0,0,0,1,0,0,0
