State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Chhattisgarh,Surajpur DTO - CG29,ICE,BAJAJ AUTO LTD,165,186,162,169,142,106,102,98,86,150,314,105
Chhattisgarh,Surajpur DTO - CG29,ICE,BMW INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarh,Surajpur DTO - CG29,ICE,CLASSIC LEGENDS PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Chhattisgarh,Surajpur DTO - CG29,ICE,HERO MOTOCORP LTD,267,277,295,261,331,243,216,161,89,207,680,231
Chhattisgarh,Surajpur DTO - CG29,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,130,131,144,130,112,122,106,134,120,205,350,107
Chhattisgarh,Surajpur DTO - CG29,ICE,INDIA YAMAHA MOTOR PVT LTD,1,3,2,2,1,0,0,0,0,3,1,2
Chhattisgarh,Surajpur DTO - CG29,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Chhattisgarh,Surajpur DTO - CG29,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),20,16,17,13,21,8,7,17,8,7,44,10
Chhattisgarh,Surajpur DTO - CG29,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,0,0,0,0,0,0,0,0,1,2,0,0
Chhattisgarh,Surajpur DTO - CG29,ICE,TVS MOTOR COMPANY LTD,148,141,133,123,149,112,103,61,109,126,226,129
