State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,BETUL DTO - MP48,E2W,ATHER ENERGY LTD,2,1,5,2,1,1,0,1,2,4,3,1
Madhya Pradesh,BETUL DTO - MP48,E2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),0,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,BETUL DTO - MP48,E2W,BAJAJ AUTO LTD,6,0,0,1,5,2,8,17,17,42,59,38
Madhya Pradesh,BETUL DTO - MP48,E2W,BOUNCE ELECTRIC 1 PVT LTD,1,1,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,BETUL DTO - MP48,E2W,HERO MOTOCORP LTD,0,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,BETUL DTO - MP48,E2W,LECTRIX E VEHICLES PVT LTD,0,0,4,0,1,2,3,0,0,0,2,2
Madhya Pradesh,BETUL DTO - MP48,E2W,OKAYA EV PVT LTD,1,1,3,0,1,2,1,2,1,2,0,1
Madhya Pradesh,BETUL DTO - MP48,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,35,20,35,26,22,32,40,13,22,52,40,5
Madhya Pradesh,BETUL DTO - MP48,E2W,PUR ENERGY PVT LTD,7,0,2,0,1,0,0,0,4,0,0,0
Madhya Pradesh,BETUL DTO - MP48,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,1,0,1,0,1,0,0,0
Madhya Pradesh,BETUL DTO - MP48,E2W,TORK MOTORS PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,BETUL DTO - MP48,E2W,TVS MOTOR COMPANY LTD,14,14,16,6,8,5,13,8,8,20,41,8
Madhya Pradesh,BETUL DTO - MP48,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,2,0,0,3,1,0,1,0,0,0,0,0
