State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,BHIND DTO - MP30,L3P,3S INDUSTRIES PRIVATE LIMITED,5,1,3,2,3,1,0,15,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,1,1,2,0,0,4,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,A.V.AUTOMOTIVES PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,BADSHAH ENTERPRISES,1,4,0,0,2,0,0,7,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,BEST WAY AGENCIES PVT LTD,9,10,0,14,7,11,0,51,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,CARREE YUNUS VEHICLE PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,DEV MOTORS,2,1,0,13,4,1,0,21,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,DILLI ELECTRIC AUTO PVT LTD,1,6,2,13,8,3,1,34,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,ENERGY ELECTRIC VEHICLES,2,2,6,7,5,7,0,29,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,EXTRA FAST SOLUTIONS,2,2,0,0,0,0,0,4,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,0,1,1,0,0,0,2,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,2,0,0,0,0,0,2,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,J. S. AUTO (P) LTD,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,KGN INDUSTRIES,0,0,1,0,0,1,0,2,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,1,0,0,4,7,0,12,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,KRISHNA ENGINEERING WORKS,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,NEW CHAWLA INDUSTRIES,9,6,5,11,8,14,0,53,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,OM RAJ AUTOTECH LLP,0,0,0,2,0,0,0,2,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,SAERA ELECTRIC AUTO PVT LTD,0,1,0,1,6,1,0,9,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,8,3,12,4,5,6,0,38,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,SSB INDISTRIES,0,0,0,2,0,15,0,17,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,T U K INDUSTRIES,1,1,4,6,1,5,0,18,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,3,1,2,11,1,4,0,22,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,VICTORY ELECTRIC INTERNATIONAL,0,2,0,0,0,0,0,2,0,0,0
Madhya Pradesh,BHIND DTO - MP30,L3P,YC ELECTRIC VEHICLE,1,0,0,0,0,0,0,1,0,0,0
