State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,BHOPAL RTO - MP4,E2W,ADRIS ELECTRIC PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,AMPERE VEHICLES PRIVATE LIMITED,0,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,ATHER ENERGY LTD,46,18,61,4,15,18,28,55,74,73,77,54
Madhya Pradesh,BHOPAL RTO - MP4,E2W,BAJAJ AUTO LTD,85,53,116,44,53,70,176,134,135,325,304,155
Madhya Pradesh,BHOPAL RTO - MP4,E2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,0,0,0,0,0,0,3,0,0,1,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,0,8,14,16,7
Madhya Pradesh,BHOPAL RTO - MP4,E2W,ECO FUEL SYSTEMS (I) PVT LTD,2,2,0,0,0,0,1,1,1,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,0,0,0,1,0,0,0,0,1,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,1,5,0,1,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,GOREEN E-MOBILITY PVT LTD,0,1,0,0,2,0,0,0,0,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,1,4,0,1,25,20,8,4,24,6,1
Madhya Pradesh,BHOPAL RTO - MP4,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,0,0,2,0,0,0,0,0,2
Madhya Pradesh,BHOPAL RTO - MP4,E2W,HERO MOTOCORP LTD,12,7,10,10,23,11,34,18,26,51,31,14
Madhya Pradesh,BHOPAL RTO - MP4,E2W,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),1,0,3,1,1,4,2,0,0,1,0,1
Madhya Pradesh,BHOPAL RTO - MP4,E2W,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),1,0,0,2,0,0,0,2,1,0,1,1
Madhya Pradesh,BHOPAL RTO - MP4,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2,7,11,1,5,4,6,1,1,11,2,1
Madhya Pradesh,BHOPAL RTO - MP4,E2W,KLB KOMAKI PVT LTD,6,1,3,2,4,4,2,2,1,8,7,1
Madhya Pradesh,BHOPAL RTO - MP4,E2W,KYTE ENERGY PVT. LTD.,0,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,LECTRIX E VEHICLES PVT LTD,0,6,9,1,1,4,6,4,6,6,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,OKAYA EV PVT LTD,3,7,5,0,3,2,3,1,1,1,1,1
Madhya Pradesh,BHOPAL RTO - MP4,E2W,OKINAWA AUTOTECH PVT LTD,15,5,7,0,0,0,3,1,0,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,225,250,479,275,326,352,327,186,193,549,271,105
Madhya Pradesh,BHOPAL RTO - MP4,E2W,REVOLT INTELLICORP PVT LTD,8,9,10,7,2,5,4,0,2,0,7,17
Madhya Pradesh,BHOPAL RTO - MP4,E2W,ROWWET MOBILITY PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,TORK MOTORS PVT LTD,5,6,7,2,2,0,0,0,1,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,TVS MOTOR COMPANY LTD,103,93,191,40,86,93,120,110,106,144,245,103
Madhya Pradesh,BHOPAL RTO - MP4,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,6,7,8,14,2,4,6,3,2,1,3,3
Madhya Pradesh,BHOPAL RTO - MP4,E2W,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),1,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),0,0,0,0,0,0,0,0,1,0,0,0
