State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,BHOPAL RTO - MP4,E2W,ATHER ENERGY LTD,52,37,53,73,81,107,0,403,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,BAJAJ AUTO LTD,225,205,280,194,214,244,0,"1,362",0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,0,0,0,2,1,1,0,4,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,BGAUSS AUTO PRIVATE LIMITED,15,12,33,8,18,9,1,96,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,ECO FUEL SYSTEMS (I) PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,1,1,0,0,0,0,2,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,5,8,17,10,5,34,1,80,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,HERO MOTOCORP LTD,6,11,29,15,33,40,4,138,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),2,1,2,1,2,2,0,10,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,1,4,3,5,7,0,20,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,KLB KOMAKI PVT LTD,5,5,7,0,0,0,0,17,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,KYTE ENERGY PVT. LTD.,2,0,0,0,0,0,0,2,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,LECTRIX E VEHICLES PVT LTD,3,7,6,1,5,0,0,22,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,OKAYA EV PVT LTD,0,0,6,0,1,2,0,9,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,0,3,0,0,3,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,197,73,254,224,194,206,3,"1,151",0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,20,0,20,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,REVOLT INTELLICORP PVT LTD,3,0,0,0,0,0,0,3,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,TVS MOTOR COMPANY LTD,131,79,161,89,165,165,1,791,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,1,4,2,2,1,0,10,0,0,0
Madhya Pradesh,BHOPAL RTO - MP4,E2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),0,0,1,0,0,0,0,1,0,0,0
