State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,CHATTARPUR  ARTO - MP16,ICE,BAJAJ AUTO LTD,183,200,209,366,233,203,262,154,119,228,687,143
Madhya Pradesh,CHATTARPUR  ARTO - MP16,ICE,BMW INDIA PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Madhya Pradesh,CHATTARPUR  ARTO - MP16,ICE,CLASSIC LEGENDS PVT LTD,0,2,0,0,0,0,0,0,2,2,0,2
Madhya Pradesh,CHATTARPUR  ARTO - MP16,ICE,HERO MOTOCORP LTD,648,762,935,"2,032",849,924,"1,052",517,306,"1,126","2,505",484
Madhya Pradesh,CHATTARPUR  ARTO - MP16,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,151,144,142,302,209,181,213,201,166,457,692,136
Madhya Pradesh,CHATTARPUR  ARTO - MP16,ICE,INDIA YAMAHA MOTOR PVT LTD,7,7,7,4,8,11,12,9,2,4,20,3
Madhya Pradesh,CHATTARPUR  ARTO - MP16,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,CHATTARPUR  ARTO - MP16,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),26,30,34,40,27,29,27,32,14,45,72,38
Madhya Pradesh,CHATTARPUR  ARTO - MP16,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,11,11,6,12,8,6,9,8,8,28,18,8
Madhya Pradesh,CHATTARPUR  ARTO - MP16,ICE,TVS MOTOR COMPANY LTD,278,354,362,674,436,341,395,278,184,527,"1,039",293
