State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,ATHER ENERGY LTD,32,25,27,36,25,21,3,169,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,BAJAJ AUTO LTD,78,54,120,55,87,100,1,495,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,BGAUSS AUTO PRIVATE LIMITED,1,1,1,3,1,0,0,7,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,ECO FUEL SYSTEMS (I) PVT LTD,0,1,1,0,0,0,0,2,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,GOREEN E-MOBILITY PVT LTD,2,0,2,0,0,0,0,4,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,4,3,6,6,6,30,0,55,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,HERO MOTOCORP LTD,1,0,0,0,0,5,4,10,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),3,1,0,0,1,0,0,5,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,9,2,2,0,13,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,40,19,51,35,35,43,0,223,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,PUR ENERGY PVT LTD,55,40,34,36,40,43,0,248,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,REVOLT INTELLICORP PVT LTD,2,1,2,1,1,2,0,9,0,0,0
Madhya Pradesh,CHHINDWARA ARTO - MP28,E2W,TVS MOTOR COMPANY LTD,26,39,40,35,31,30,0,201,0,0,0
