State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,DAMOH DTO - MP34,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,1,1,0,2,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3G,ENERGY ELECTRIC VEHICLES,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3G,KHALSAE-VEHICLES PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3G,LECTRIX E VEHICLES PVT LTD,0,0,1,0,1,0,0,2,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3G,LOHIA AUTO INDUSTRIES,0,0,1,2,2,3,0,8,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,1,0,0,1,0,2,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3G,VICTORY ELECTRIC INTERNATIONAL,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3G,YC ELECTRIC VEHICLE,2,0,0,0,0,0,0,2,0,0,0
