State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,DAMOH DTO - MP34,L3P,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,1,1,0,2,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,BAXY LTD,0,0,2,0,0,0,0,2,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,2,2,0,3,0,7,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,ENERGY ELECTRIC VEHICLES,9,4,5,3,6,0,0,27,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,HOTAGE INDIA,14,8,10,9,10,6,0,57,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,KHALSAE-VEHICLES PVT LTD,22,0,10,6,4,3,0,45,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,0,1,0,0,0,0,2,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,KRISHNA ENGINEERING WORKS,0,3,0,5,1,3,0,12,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,LAKSHYA AUTO SALES CORPORATION,0,0,0,1,0,0,0,1,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,LECTRIX E VEHICLES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,LOHIA AUTO INDUSTRIES,5,9,7,10,3,13,0,47,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,MINI METRO EV L.L.P,10,4,12,10,8,5,0,49,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,1,0,1,0,2,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,SKS TRADE INDIA PVT LTD,1,0,4,0,0,1,0,6,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,SPEEGO VEHICLES CO PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,STAR IGLOBAL AUTOMOTIVE PVT LTD,4,1,3,0,2,0,0,10,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,SUPERTECH EV LIMITED,0,1,4,1,2,5,0,13,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,TERRA MOTORS INDIA PVT LTD,1,1,1,2,3,6,0,14,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,THUKRAL ELECTRIC BIKES PVT LTD,1,0,1,1,0,0,0,3,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,U.P. TELELINKS LIMITED,1,3,2,1,1,1,0,9,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,VICTORY ELECTRIC INTERNATIONAL,0,3,1,2,2,0,0,8,0,0,0
Madhya Pradesh,DAMOH DTO - MP34,L3P,YC ELECTRIC VEHICLE,1,2,0,0,0,0,0,3,0,0,0
