State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,DEWAS DTO - MP41,E2W,BAJAJ AUTO LTD,0,0,0,0,0,0,16,17,16,28,44,15
Madhya Pradesh,DEWAS DTO - MP41,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,GOREEN E-MOBILITY PVT LTD,2,0,0,0,0,0,2,0,0,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,2,0,3,1,0,3,2,0,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,1,19,19,26,6
Madhya Pradesh,DEWAS DTO - MP41,E2W,IVOOMI INNOVATION PVT LTD,0,1,1,0,0,1,0,0,0,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,1,0,1,0,0,0,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,OKAYA EV PVT LTD,0,0,2,0,0,0,0,0,0,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,33,28,38,31,36,72,73,32,38,94,56,25
Madhya Pradesh,DEWAS DTO - MP41,E2W,PUR ENERGY PVT LTD,0,1,3,0,1,0,1,1,1,0,0,1
Madhya Pradesh,DEWAS DTO - MP41,E2W,ROWWET MOBILITY PVT LTD,0,0,0,0,0,1,0,0,0,0,0,5
Madhya Pradesh,DEWAS DTO - MP41,E2W,SOKUDO ELECTRIC INDIA PVT LTD,1,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,TUNWAL E MOTORS PVT LTD,0,2,1,0,1,1,0,0,0,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,TVS MOTOR COMPANY LTD,34,27,53,9,20,17,51,32,26,93,73,64
Madhya Pradesh,DEWAS DTO - MP41,E2W,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),1,0,0,0,0,0,0,0,0,0,0,0
