State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,DEWAS DTO - MP41,E2W,ATHER ENERGY LTD,0,0,0,3,5,7,5,20,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,BAJAJ AUTO LTD,24,14,25,11,7,7,0,88,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,ECO FUEL SYSTEMS (I) PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,GOREEN E-MOBILITY PVT LTD,0,1,2,0,0,0,0,3,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,HERO MOTOCORP LTD,0,5,19,12,18,15,4,73,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,2,0,0,0,2,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,57,20,55,41,43,61,0,277,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,PUR ENERGY PVT LTD,0,2,0,0,0,0,0,2,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,E2W,TVS MOTOR COMPANY LTD,53,41,74,43,66,36,4,317,0,0,0
