State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,DEWAS DTO - MP41,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,1,0,0,0,5,0,0,6,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,ATUL AUTO LTD,1,2,0,1,0,0,0,4,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,AUTOECO GREEN ENERGY PVT LTD,1,1,0,0,0,0,0,2,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,BAXY LTD,1,8,7,2,1,2,0,21,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,DILLI ELECTRIC AUTO PVT LTD,4,4,6,1,11,9,0,35,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,EVGREEN PVT LTD,1,0,3,2,0,3,0,9,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,KHALSAE-VEHICLES PVT LTD,1,1,0,0,1,1,0,4,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,4,8,8,5,0,7,0,32,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,LAKSHYA AUTO SALES CORPORATION,6,3,8,2,1,6,1,27,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,LOHIA AUTO INDUSTRIES,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,MAHINDRA LAST MILE MOBILITY LTD,1,0,2,0,0,0,0,3,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,MALI ENTERPRISES PVT LTD,1,0,0,1,3,0,0,5,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,OK PLAY INDIA LTD,2,0,0,0,0,0,0,2,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,SAERA ELECTRIC AUTO PVT LTD,1,1,2,0,1,6,0,11,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,SHRI BARSANA E-VEHICLES PVT LTD,8,9,10,5,10,11,0,53,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,SKS TRADE INDIA PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,STAR IGLOBAL AUTOMOTIVE PVT LTD,1,4,2,1,2,0,0,10,0,0,0
Madhya Pradesh,DEWAS DTO - MP41,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,1,0,0,0,0,0,0,1,0,0,0
