State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,DHAR ARTO - MP11,E2W,AMPERE VEHICLES PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,DHAR ARTO - MP11,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,0,1,0,0
Madhya Pradesh,DHAR ARTO - MP11,E2W,BAJAJ AUTO LTD,0,0,0,0,2,5,5,21,29,39,82,25
Madhya Pradesh,DHAR ARTO - MP11,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,2,0,1,0,0,0,0,0,0,0
Madhya Pradesh,DHAR ARTO - MP11,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,1,0,0,0,0,0,3,1,2
Madhya Pradesh,DHAR ARTO - MP11,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,DHAR ARTO - MP11,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,DHAR ARTO - MP11,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,9,12,25,10,28,17,18,8,5,8,8,6
Madhya Pradesh,DHAR ARTO - MP11,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,0,0,3,0,1,0,0
Madhya Pradesh,DHAR ARTO - MP11,E2W,TVS MOTOR COMPANY LTD,1,3,15,5,7,11,19,15,12,46,69,28
Madhya Pradesh,DHAR ARTO - MP11,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,2,0,3,3,3,2,2,4,1,0,6,0
Madhya Pradesh,DHAR ARTO - MP11,E2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),1,2,0,0,0,0,0,0,0,0,0,0
