State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,GUNA DTO - MP8,L3P,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,0,2,2,2,0,3,5
Madhya Pradesh,GUNA DTO - MP8,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,1,0,1
Madhya Pradesh,GUNA DTO - MP8,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,1,2,0,1,0,0,0,0,0,0,0
Madhya Pradesh,GUNA DTO - MP8,L3P,DILLI ELECTRIC AUTO PVT LTD,1,0,1,0,2,1,7,4,5,3,6,2
Madhya Pradesh,GUNA DTO - MP8,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,0,0,0,0,0,0,0,0,2,0,3,1
Madhya Pradesh,GUNA DTO - MP8,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,3,1,1
Madhya Pradesh,GUNA DTO - MP8,L3P,GRD MOTORS,0,0,0,0,0,0,0,0,0,0,4,1
Madhya Pradesh,GUNA DTO - MP8,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,GUNA DTO - MP8,L3P,LOHIA AUTO INDUSTRIES,0,0,0,0,0,0,0,0,1,0,2,0
Madhya Pradesh,GUNA DTO - MP8,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,0,1,0,0,1,0,1,2,1,0,0
Madhya Pradesh,GUNA DTO - MP8,L3P,MAHINDRA & MAHINDRA LIMITED,0,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,GUNA DTO - MP8,L3P,MALI ENTERPRISES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,GUNA DTO - MP8,L3P,SAERA ELECTRIC AUTO PVT LTD,0,3,7,5,5,12,13,17,5,6,9,8
Madhya Pradesh,GUNA DTO - MP8,L3P,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,GUNA DTO - MP8,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,1,0,0,1,0,0,0,0,0,0,0
Madhya Pradesh,GUNA DTO - MP8,L3P,YC ELECTRIC VEHICLE,0,0,4,4,4,11,16,9,6,5,14,5
Madhya Pradesh,GUNA DTO - MP8,L3P,ZENIAK INNOVATION INDIA LTD,0,0,0,0,0,0,0,0,2,0,0,0
