State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,GWALIOR RTO - MP7,L3G,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,7,1,2,4,2,8,3,10
Madhya Pradesh,GWALIOR RTO - MP7,L3G,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,0,0,0,9,0,1,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,AJAY MOTORS PRIVATE LIMITED,0,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,DILLI ELECTRIC AUTO PVT LTD,3,4,6,2,6,3,4,2,6,3,2,6
Madhya Pradesh,GWALIOR RTO - MP7,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,ENERGY ELECTRIC VEHICLES,0,0,1,0,1,1,1,1,0,1,0,2
Madhya Pradesh,GWALIOR RTO - MP7,L3G,HIM TEKNOFORGE LTD,0,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,LAKSHYA AUTO SALES CORPORATION,2,1,4,4,3,2,3,2,1,2,0,3
Madhya Pradesh,GWALIOR RTO - MP7,L3G,SAERA ELECTRIC AUTO PVT LTD,7,3,8,1,1,2,3,3,1,6,4,2
Madhya Pradesh,GWALIOR RTO - MP7,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,2,0,0,1,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,1,2,0,1,0,1,1,1
Madhya Pradesh,GWALIOR RTO - MP7,L3G,SSB INDISTRIES,0,0,0,0,1,1,8,2,1,3,2,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,0,0,0,7,1,3,3,0,3
Madhya Pradesh,GWALIOR RTO - MP7,L3G,UNIQUE ENTERPRISES,0,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,1,0,0,0,0,1,0
