State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,GWALIOR RTO - MP7,L3P,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,3,3,14,14,10,14,4,9
Madhya Pradesh,GWALIOR RTO - MP7,L3P,A.J ENTERPRISES,0,0,0,0,0,0,1,2,0,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,ALLFINE INDUSTRIES PVT LTD,20,12,19,10,26,25,34,28,15,6,1,1
Madhya Pradesh,GWALIOR RTO - MP7,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,1,0,0,0,0,2,6,0,1,1,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,ARNA ELECTRIC AUTO PVT LTD,0,0,2,0,1,1,0,0,0,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,A.V.AUTOMOTIVES PVT LTD,3,1,2,0,5,0,0,0,1,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,6,18,7,5,2,5,3,0,0,1,1
Madhya Pradesh,GWALIOR RTO - MP7,L3P,B24 ROKET EV,0,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,BALAJI TRADING COMPANY,0,0,0,0,0,3,0,0,0,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,0,0,2,1,0,0,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,6,3,5,9,8,10,1,3,1,11,1,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,BHM INDUSTRIES,0,3,4,0,1,3,1,1,1,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,BRIGHT AUTOZONE PVT LTD,0,1,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,CEEON INDIA,1,3,1,0,0,5,4,1,0,1,0,1
Madhya Pradesh,GWALIOR RTO - MP7,L3P,CHAMPION POLY PLAST,2,1,3,0,0,0,0,2,0,0,1,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,1,0,1,1,1,1,1,1,0,0,0,1
Madhya Pradesh,GWALIOR RTO - MP7,L3P,DAKSH INDUSTRIES,2,0,0,1,0,0,0,0,0,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3P,DILLI ELECTRIC AUTO PVT LTD,50,88,47,45,47,33,40,36,24,31,17,11
Madhya Pradesh,GWALIOR RTO - MP7,L3P,ECO SMART VEHICLES PVT LTD,1,3,1,0,0,0,0,1,0,0,1,1
