State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,GWALIOR RTO - MP7,E2W,ATHER ENERGY LTD,49,144,70,45,64,91,1,464,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,E2W,BAJAJ AUTO LTD,170,502,202,120,161,208,7,"1,370",0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,E2W,BGAUSS AUTO PRIVATE LIMITED,12,20,3,5,2,4,0,46,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,22,96,27,32,28,51,0,256,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,E2W,HERO MOTOCORP LTD,7,26,18,11,23,29,0,114,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,2,0,0,2,0,0,4,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,123,96,115,95,84,92,2,607,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,E2W,REVOLT INTELLICORP PVT LTD,6,10,1,6,3,3,0,29,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,E2W,TVS MOTOR COMPANY LTD,518,754,395,256,381,448,7,"2,759",0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,2,4,2,5,5,2,20,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,E2W,ZELIO AUTO PVT LTD,0,0,1,0,0,0,0,1,0,0,0
