State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,GWALIOR RTO - MP7,L3G,3S INDUSTRIES PRIVATE LIMITED,1,2,2,0,4,5,0,14,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,AADHYA ENTERPRISES,0,0,0,0,1,0,0,1,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,BAXY LTD,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,DILLI ELECTRIC AUTO PVT LTD,2,2,2,4,6,4,0,20,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,ENERGY ELECTRIC VEHICLES,2,1,2,1,1,6,0,13,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,LAKSHYA AUTO SALES CORPORATION,3,3,5,1,8,1,2,23,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,SAERA ELECTRIC AUTO PVT LTD,3,5,4,2,3,1,0,18,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,1,0,2,0,3,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,SKS TRADE INDIA PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,4,1,3,3,3,2,0,16,0,0,0
Madhya Pradesh,GWALIOR RTO - MP7,L3G,UNIQUE ENTERPRISES,0,0,1,0,0,1,0,2,0,0,0
