State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,HARDA DTO - MP47,E2W,ATHER ENERGY LTD,11,3,11,2,3,3,6,9,7,6,12,15
Madhya Pradesh,HARDA DTO - MP47,E2W,BAJAJ AUTO LTD,0,0,0,0,0,0,0,1,0,0,0,5
Madhya Pradesh,HARDA DTO - MP47,E2W,GOREEN E-MOBILITY PVT LTD,3,0,2,0,0,0,0,0,0,1,1,0
Madhya Pradesh,HARDA DTO - MP47,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,2,2,2,0,0,0,0,0,0,1
Madhya Pradesh,HARDA DTO - MP47,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,1,0,1,0,0,0
Madhya Pradesh,HARDA DTO - MP47,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,5,2,0,6,1,4,9,4,2,7,5,2
Madhya Pradesh,HARDA DTO - MP47,E2W,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),0,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,HARDA DTO - MP47,E2W,PUR ENERGY PVT LTD,2,1,0,0,0,1,1,2,3,0,0,0
Madhya Pradesh,HARDA DTO - MP47,E2W,ROWWET MOBILITY PVT LTD,0,0,0,2,0,1,2,0,0,0,0,0
Madhya Pradesh,HARDA DTO - MP47,E2W,TVS MOTOR COMPANY LTD,0,4,2,1,0,0,3,4,5,17,35,14
Madhya Pradesh,HARDA DTO - MP47,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,5,7,5,8,6,4
