State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,AMPERE VEHICLES PRIVATE LIMITED,0,0,0,0,0,1,2,0,1,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,ATHER ENERGY LTD,7,8,7,0,0,0,0,0,0,0,1,0
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,BAJAJ AUTO LTD,0,2,1,1,9,19,44,60,60,90,120,56
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,2,11,0,1,3,3,0,2,0,10,2
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,HERO ELECTRIC VEHICLES PVT. LTD,2,1,3,0,1,0,1,0,0,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,4,0,0,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,JITENDRA NEW EV-TECH PVT. LTD,1,0,6,0,0,0,0,0,0,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,6,11,15,5,1,2,8,3,3,9,10,4
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,OKAYA EV PVT LTD,2,3,2,0,1,1,3,0,0,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,43,30,55,45,45,50,48,42,45,124,40,30
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,PUR ENERGY PVT LTD,13,3,9,0,7,3,8,6,1,4,10,4
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,TVS MOTOR COMPANY LTD,8,13,18,11,7,15,17,19,16,52,56,19
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,2,0,0,0,0,5,0,0,0,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),1,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,E2W,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),0,2,4,16,1,11,3,1,0,0,0,4
