State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,AADHYA ENTERPRISES,0,0,0,0,0,0,0,0,3,1,2,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,ATUL AUTO LTD,2,0,0,0,1,0,0,0,0,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,AUTOECO GREEN ENERGY PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,2,1,4,2,1,3
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,KHALSAE-VEHICLES PVT LTD,0,0,3,0,1,0,0,0,0,1,0,2
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,1,1,0,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,K T ENTERPRISES,0,0,0,0,0,0,0,0,2,2,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,LAKSHYA AUTO SALES CORPORATION,1,4,3,2,2,2,2,0,0,0,1,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,0,1,1,1,0,0,0,1,1,1,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,RAYON ENGINEERS,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,TSM ENGINEERING PVT LTD,0,0,1,2,1,2,3,2,2,3,5,3
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,YC ELECTRIC VEHICLE,0,0,0,1,0,0,0,3,2,4,2,3
