State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,AADHYA ENTERPRISES,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,ATUL AUTO LTD,2,0,1,0,0,0,0,3,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,AUTOECO GREEN ENERGY PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,DILLI ELECTRIC AUTO PVT LTD,0,1,0,1,0,0,0,2,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,ENERGY ELECTRIC VEHICLES,0,0,1,1,0,0,0,2,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,ENTICE IMPEX PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,KHALSAE-VEHICLES PVT LTD,4,2,1,2,0,1,0,10,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,1,0,0,0,1,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,LAKSHYA AUTO SALES CORPORATION,0,2,0,0,0,0,0,2,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,MAHINDRA LAST MILE MOBILITY LTD,1,0,0,0,1,0,0,2,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,RAYON ENGINEERS,1,0,1,0,0,0,0,2,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,TSM ENGINEERING PVT LTD,2,5,1,0,5,4,0,17,0,0,0
Madhya Pradesh,HOSANGABAD DTO - MP5,L3P,YC ELECTRIC VEHICLE,0,0,1,0,1,0,0,2,0,0,0
