State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,INDORE RTO - MP9,ICE,BAJAJ AUTO LTD,"1,148",878,896,"1,050",827,776,763,713,698,"1,322","2,014",669
Madhya Pradesh,INDORE RTO - MP9,ICE,BMW INDIA PVT LTD,6,2,5,8,5,3,4,5,7,15,8,7
Madhya Pradesh,INDORE RTO - MP9,ICE,CLASSIC LEGENDS PVT LTD,60,43,24,24,18,16,26,33,34,66,53,16
Madhya Pradesh,INDORE RTO - MP9,ICE,DUCATI INDIA PVT LTD,0,1,0,0,0,0,0,0,1,1,0,0
Madhya Pradesh,INDORE RTO - MP9,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,0,0,0,1,0,0,0,1,0,0
Madhya Pradesh,INDORE RTO - MP9,ICE,HERO MOTOCORP LTD,"2,207","1,872","1,889","2,105","1,828","1,766","1,983","1,718","1,507","3,239","5,076","1,421"
Madhya Pradesh,INDORE RTO - MP9,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"3,315","2,912","3,022","3,477","2,928","3,034","2,926","3,046","3,061","5,295","7,432","2,122"
Madhya Pradesh,INDORE RTO - MP9,ICE,INDIA KAWASAKI MOTORS PVT LTD,4,4,7,1,4,3,1,2,3,3,5,1
Madhya Pradesh,INDORE RTO - MP9,ICE,INDIA YAMAHA MOTOR PVT LTD,204,201,224,244,201,192,244,216,158,334,390,153
Madhya Pradesh,INDORE RTO - MP9,ICE,PIAGGIO VEHICLES PVT LTD,3,8,6,10,12,11,6,9,2,14,3,0
Madhya Pradesh,INDORE RTO - MP9,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),1,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,INDORE RTO - MP9,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),631,511,437,564,490,349,442,461,479,"1,023",905,417
Madhya Pradesh,INDORE RTO - MP9,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,956,852,918,"1,033",920,815,999,940,931,"1,575","1,449",608
Madhya Pradesh,INDORE RTO - MP9,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,0,1,1,1,1,0,2,0,1,2
Madhya Pradesh,INDORE RTO - MP9,ICE,TVS MOTOR COMPANY LTD,"1,774","1,558","1,415","1,860","1,467","1,361","1,374","1,308","1,567","2,618","2,964","1,197"
