State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,INDORE RTO - MP9,L5P,A P I MOTORS PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,ATUL AUTO LTD,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,ATUL GREENTECH PRIVATE LIMITED,1,2,0,1,1,2,0,7,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,BAJAJ AUTO LTD,22,15,25,43,57,64,4,230,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,EULER MOTORS PVT LTD,5,4,4,4,0,1,0,18,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,KHALSAE-VEHICLES PVT LTD,0,0,0,0,3,4,0,7,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,MAHINDRA LAST MILE MOBILITY LTD,97,62,88,96,106,155,3,607,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,MLR AUTO LTD,0,0,0,2,0,0,0,2,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,PIAGGIO VEHICLES PVT LTD,6,6,2,2,2,3,0,21,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,TI CLEAN MOBILITY PVT LTD,2,0,0,2,2,1,0,7,0,0,0
Madhya Pradesh,INDORE RTO - MP9,L5P,TVS MOTOR COMPANY LTD,0,0,2,10,17,20,1,50,0,0,0
