State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,JABALPUR RTO - MP20,E2W,AMPERE VEHICLES PRIVATE LIMITED,1,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,ATHER ENERGY LTD,23,14,22,6,14,4,42,18,28,39,69,46
Madhya Pradesh,JABALPUR RTO - MP20,E2W,BAJAJ AUTO LTD,97,130,169,63,90,114,206,131,270,435,264,282
Madhya Pradesh,JABALPUR RTO - MP20,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,4,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,1,2,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,BOUNCE ELECTRIC 1 PVT LTD,0,0,0,0,0,0,0,0,2,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,3,0,1,0,0,0,1,1,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,GOREEN E-MOBILITY PVT LTD,2,2,1,4,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,14,22,15,9,14,19,14,10,6,23,7,1
Madhya Pradesh,JABALPUR RTO - MP20,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,1,0,0,0,2,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,HERO MOTOCORP LTD,12,14,36,10,28,28,48,36,19,52,59,5
Madhya Pradesh,JABALPUR RTO - MP20,E2W,IVOOMI INNOVATION PVT LTD,0,0,3,2,2,2,0,1,2,0,0,1
Madhya Pradesh,JABALPUR RTO - MP20,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,3,7,2,1,1,2,0,1,2,5,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,KLB KOMAKI PVT LTD,2,0,2,0,3,2,4,0,1,3,0,1
Madhya Pradesh,JABALPUR RTO - MP20,E2W,LECTRIX E VEHICLES PVT LTD,0,1,0,1,1,1,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,OKAYA EV PVT LTD,1,2,2,3,0,2,1,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,OKINAWA AUTOTECH PVT LTD,2,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,101,95,107,85,108,98,120,83,74,214,111,54
Madhya Pradesh,JABALPUR RTO - MP20,E2W,PUR ENERGY PVT LTD,8,2,4,4,6,6,1,2,4,1,2,3
Madhya Pradesh,JABALPUR RTO - MP20,E2W,REVOLT INTELLICORP PVT LTD,6,2,4,3,3,0,4,1,2,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,TORK MOTORS PVT LTD,3,3,8,1,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,E2W,TVS MOTOR COMPANY LTD,34,23,37,12,23,44,35,39,61,148,131,68
Madhya Pradesh,JABALPUR RTO - MP20,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,4,14,20,0,34,20,2,17,1,2,0,39
Madhya Pradesh,JABALPUR RTO - MP20,E2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0,0,0,0,0,0,0,0,0,0,0,2
