State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,JABALPUR RTO - MP20,ICE,BAJAJ AUTO LTD,456,362,358,385,456,381,340,321,290,486,920,265
Madhya Pradesh,JABALPUR RTO - MP20,ICE,BMW INDIA PVT LTD,0,1,0,1,0,0,0,1,0,0,1,0
Madhya Pradesh,JABALPUR RTO - MP20,ICE,CLASSIC LEGENDS PVT LTD,12,7,9,16,10,7,9,8,8,14,21,10
Madhya Pradesh,JABALPUR RTO - MP20,ICE,DUCATI INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,ICE,HERO MOTOCORP LTD,964,858,"1,056","1,110",898,957,961,810,537,"1,290","2,661",559
Madhya Pradesh,JABALPUR RTO - MP20,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,097",900,984,"1,347","1,268",998,"1,233",938,887,"1,698","2,343",753
Madhya Pradesh,JABALPUR RTO - MP20,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,ICE,INDIA YAMAHA MOTOR PVT LTD,53,29,62,49,48,39,28,60,31,64,93,23
Madhya Pradesh,JABALPUR RTO - MP20,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,0,0,1,1,2,0,0
Madhya Pradesh,JABALPUR RTO - MP20,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),178,164,153,182,151,130,147,111,129,262,360,140
Madhya Pradesh,JABALPUR RTO - MP20,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,666,555,635,664,680,645,626,574,499,"1,650",656,439
Madhya Pradesh,JABALPUR RTO - MP20,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,ICE,TVS MOTOR COMPANY LTD,437,355,322,354,351,339,344,313,303,513,816,372
