State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,JABALPUR RTO - MP20,L3G,A K GUPTA & CO.,0,0,0,1,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,0,1,0,0,1,1,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,ATUL AUTO LTD,3,0,0,1,2,0,1,0,2,1,1,2
Madhya Pradesh,JABALPUR RTO - MP20,L3G,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,1,2,0,4,0,1,1
Madhya Pradesh,JABALPUR RTO - MP20,L3G,BEST WAY AGENCIES PVT LTD,0,0,0,0,0,1,1,0,0,0,0,1
Madhya Pradesh,JABALPUR RTO - MP20,L3G,CHAMPION POLY PLAST,0,1,1,0,1,1,0,0,0,0,2,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,CONTINENTAL ENGINES PVT LTD,2,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,DILLI ELECTRIC AUTO PVT LTD,1,0,0,0,0,1,1,1,1,1,1,1
Madhya Pradesh,JABALPUR RTO - MP20,L3G,EBUZZ MOBILITY LLP,0,0,0,0,0,0,0,0,0,1,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,EXIDE INDUSTRIES LTD,5,1,0,2,0,0,2,3,0,6,2,1
Madhya Pradesh,JABALPUR RTO - MP20,L3G,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,0,1,0,1,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,INTERGLOBE ENERGY PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,JABALPUR RTO - MP20,L3G,JAISIK BUSINESS LINKS PVT LTD,1,0,0,0,0,0,0,0,0,0,1,1
Madhya Pradesh,JABALPUR RTO - MP20,L3G,JMT VEHICLES PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,1,0,0,0,0,0,0,1,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,1,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,LECTRIX E VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,2,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,LOHIA AUTO INDUSTRIES,0,0,0,0,0,1,0,0,0,1,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,0,0,0,0,1,1
Madhya Pradesh,JABALPUR RTO - MP20,L3G,MINI METRO EV L.L.P,0,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,1,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,JABALPUR RTO - MP20,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,2,2,2,1,0,0,0,3,2,1,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,SPEEGO VEHICLES CO PVT LTD,0,0,0,0,1,1,0,0,0,0,1,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,STAR IGLOBAL AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,2,0,1,2
Madhya Pradesh,JABALPUR RTO - MP20,L3G,SUPERTECH EV LIMITED,2,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,TSM ENGINEERING PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,JABALPUR RTO - MP20,L3G,UNIQUE INTERNATIONAL,0,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3G,YC ELECTRIC VEHICLE,2,3,4,0,4,1,2,5,1,11,3,2
Madhya Pradesh,JABALPUR RTO - MP20,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,0,0,0,0,0,0,0,2
