State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,JABALPUR RTO - MP20,L3P,AAHANA COMMERCE PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,ALLFINE INDUSTRIES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,2,0,1,3,2,1,0,9,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,ATUL AUTO LTD,8,8,3,7,6,2,0,34,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,AVL ELECTRIC VEHICLES PVT LTD,10,10,5,4,6,5,0,40,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,B24 ROKET EV,16,7,11,11,9,11,0,65,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,BAGHWAN RIKSHAW UDYOG,3,0,1,0,0,1,0,5,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,BAXY LTD,0,0,1,2,2,1,0,6,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,BEST WAY AGENCIES PVT LTD,5,3,2,1,2,2,0,15,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,BHM INDUSTRIES,16,6,1,1,6,3,0,33,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,CHAMPION POLY PLAST,0,0,0,0,2,0,0,2,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,DELTA AUTOCORP LTD,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,DILLI ELECTRIC AUTO PVT LTD,1,2,0,0,0,0,0,3,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,EBUZZ MOBILITY LLP,0,0,2,1,0,0,0,3,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,EFEV CHARGING SOLUTION PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,ENERGY ELECTRIC VEHICLES,6,10,7,10,8,4,0,45,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,ENTICE IMPEX PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,EXIDE INDUSTRIES LTD,7,8,5,5,4,11,1,41,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,FRN MOTORS PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,FUTURE EV TECHNOLOGY,0,0,0,0,1,13,0,14,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,GKON ELECTRIC MOTOR VEHICLES PVT LTD,2,0,1,0,0,1,0,4,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,INTERGLOBE ENERGY PVT LTD,4,3,3,5,7,9,0,31,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,JAISIK BUSINESS LINKS PVT LTD,2,2,6,1,2,0,0,13,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,JMT VEHICLES PVT LTD,1,2,1,0,0,0,0,4,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,J. S. AUTO (P) LTD,13,8,5,11,10,9,0,56,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,KHALSAE-VEHICLES PVT LTD,8,7,12,9,6,11,1,54,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,1,0,0,1,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,KRISHNA ENGINEERING WORKS,0,3,2,0,2,1,0,8,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,KRISHNA VEHICALS,0,0,0,0,3,2,0,5,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,LAKSHYA AUTO SALES CORPORATION,4,3,2,0,3,3,0,15,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,LECTRIX E VEHICLES PVT LTD,0,1,0,0,2,1,0,4,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,LIONIZE AUTOMOBILE PVT LTD,0,7,0,0,0,0,0,7,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,LOHIA AUTO INDUSTRIES,1,3,2,1,2,1,0,10,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,LUXUS GREEN MOBILITY PVT LTD,1,1,1,0,0,0,0,3,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,MAHINDRA LAST MILE MOBILITY LTD,13,11,12,7,3,3,0,49,0,0,0
Madhya Pradesh,JABALPUR RTO - MP20,L3P,MINI METRO EV L.L.P,5,6,4,3,8,9,0,35,0,0,0
