State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,KATNI ARTO - MP21,E2W,AMPERE VEHICLES PRIVATE LIMITED,0,2,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,E2W,ATHER ENERGY LTD,4,1,1,0,0,0,0,0,0,3,1,1
Madhya Pradesh,KATNI ARTO - MP21,E2W,BAJAJ AUTO LTD,0,0,2,1,0,3,7,6,4,12,22,12
Madhya Pradesh,KATNI ARTO - MP21,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,9,1,4,1,0,0,0,0,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,E2W,HERO MOTOCORP LTD,1,0,0,0,0,0,10,8,5,8,8,0
Madhya Pradesh,KATNI ARTO - MP21,E2W,IVOOMI INNOVATION PVT LTD,0,0,0,0,0,3,2,0,0,3,0,0
Madhya Pradesh,KATNI ARTO - MP21,E2W,JITENDRA NEW EV-TECH PVT. LTD,1,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,E2W,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),3,5,3,2,4,3,3,1,0,4,2,2
Madhya Pradesh,KATNI ARTO - MP21,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2,5,1,1,0,3,1,1,1,0,5,0
Madhya Pradesh,KATNI ARTO - MP21,E2W,OKINAWA AUTOTECH PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,25,19,32,24,37,31,39,32,21,52,30,9
Madhya Pradesh,KATNI ARTO - MP21,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,6,2,0,0,7,2
Madhya Pradesh,KATNI ARTO - MP21,E2W,TVS MOTOR COMPANY LTD,3,2,15,4,14,12,4,14,15,34,53,18
Madhya Pradesh,KATNI ARTO - MP21,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,5,4,5,6,8,3,3,0,0,8,7,0
