State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,KATNI ARTO - MP21,L3G,BAXY LTD,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,KATNI ARTO - MP21,L3G,CONTINENTAL ENGINES PVT LTD,0,0,0,0,1,2,0,0,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,L3G,J. S. AUTO (P) LTD,0,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,KATNI ARTO - MP21,L3G,LECTRIX E VEHICLES PVT LTD,1,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,KATNI ARTO - MP21,L3G,LOHIA AUTO INDUSTRIES,0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,1,0,2,0,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,L3G,SUPERTECH EV LIMITED,0,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,L3G,TERRA MOTORS INDIA PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,L3G,TSM ENGINEERING PVT LTD,1,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,L3G,YC ELECTRIC VEHICLE,0,0,1,1,0,0,0,0,1,1,0,0
