State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,KATNI ARTO - MP21,ICE,BAJAJ AUTO LTD,212,175,190,224,238,131,22,"1,192",0,0,0
Madhya Pradesh,KATNI ARTO - MP21,ICE,BMW INDIA PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,ICE,CLASSIC LEGENDS PVT LTD,0,0,1,1,0,0,0,2,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,ICE,HERO MOTOCORP LTD,491,507,486,717,664,460,50,"3,375",0,0,0
Madhya Pradesh,KATNI ARTO - MP21,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,350,284,305,476,423,296,61,"2,195",0,0,0
Madhya Pradesh,KATNI ARTO - MP21,ICE,INDIA YAMAHA MOTOR PVT LTD,14,10,15,10,10,11,0,70,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),0,0,0,1,0,0,0,1,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),29,28,24,29,33,22,5,170,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,151,105,125,119,110,101,23,734,0,0,0
Madhya Pradesh,KATNI ARTO - MP21,ICE,TVS MOTOR COMPANY LTD,260,205,179,303,254,194,27,"1,422",0,0,0
