State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,MANDLA DTO - MP51,E2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MANDLA DTO - MP51,E2W,ATHER ENERGY LTD,0,0,0,0,2,1,0,0,0,0,0,0
Madhya Pradesh,MANDLA DTO - MP51,E2W,BAJAJ AUTO LTD,2,2,9,1,1,5,6,3,10,9,15,4
Madhya Pradesh,MANDLA DTO - MP51,E2W,BOUNCE ELECTRIC 1 PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MANDLA DTO - MP51,E2W,ECO FUEL SYSTEMS (I) PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,MANDLA DTO - MP51,E2W,GOREEN E-MOBILITY PVT LTD,0,0,0,0,2,0,1,0,0,0,0,1
Madhya Pradesh,MANDLA DTO - MP51,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MANDLA DTO - MP51,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,1,0,0,0,0,0,0,0,0
Madhya Pradesh,MANDLA DTO - MP51,E2W,HERO MOTOCORP LTD,1,0,0,0,1,0,12,4,6,1,10,3
Madhya Pradesh,MANDLA DTO - MP51,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,MANDLA DTO - MP51,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,MANDLA DTO - MP51,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,2,4,5,3,2,2,6,2,1,3,0,2
Madhya Pradesh,MANDLA DTO - MP51,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,MANDLA DTO - MP51,E2W,TVS MOTOR COMPANY LTD,10,9,24,3,11,12,11,8,9,13,33,18
Madhya Pradesh,MANDLA DTO - MP51,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,7,6,0,0,5,1,1,10,0,0,2,4
