State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,AMPERE VEHICLES PRIVATE LIMITED,0,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,BAJAJ AUTO LTD,0,0,0,0,1,9,17,20,19,33,30,3
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,0,1,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,4,4,2,2,4,2,2,4,1,3,5,1
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,HERO ELECTRIC VEHICLES PVT. LTD,1,2,0,0,0,2,2,2,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,11,9,21,35,27,4
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,5,7,1,4,0,0,0,0,0,1,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,KLB KOMAKI PVT LTD,5,0,1,2,3,3,2,2,2,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,OKAYA EV PVT LTD,2,4,10,1,2,1,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,OKINAWA AUTOTECH PVT LTD,0,0,1,0,0,0,0,1,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,13,17,14,14,19,24,25,18,16,53,31,15
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,ROWWET MOBILITY PVT LTD,0,0,0,0,1,1,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,TORK MOTORS PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,TVS MOTOR COMPANY LTD,32,25,37,20,25,32,48,50,63,110,97,57
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,0,2,0,2,2,0,0,0,0,1,8
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,WUXI SAIGE (IMPORTER: WARIVO MOTOR),0,0,0,0,0,0,0,0,0,0,0,2
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),1,6,0,2,1,0,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,E2W,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),1,0,0,1,0,0,0,0,0,0,0,0
