State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,MANDSAUR ARTO - MP14,L3P,A K GUPTA & CO.,0,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,L3P,BAXY LTD,1,1,1,2,1,0,0,1,1,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2,0,3,2,2,1,1,1,0,1,2,0
Madhya Pradesh,MANDSAUR ARTO - MP14,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,1,0,0,0,1,0,0,0,0,2,1
Madhya Pradesh,MANDSAUR ARTO - MP14,L3P,MAHINDRA & MAHINDRA LIMITED,0,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,L3P,NEUON MOTORS LLP,0,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,L3P,SAERA ELECTRIC AUTO PVT LTD,0,0,2,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,L3P,SKS TRADE INDIA PVT LTD,2,1,0,2,0,0,0,1,1,0,1,0
Madhya Pradesh,MANDSAUR ARTO - MP14,L3P,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,MANDSAUR ARTO - MP14,L3P,ZESAR MOTORS PVT LTD,0,0,0,0,0,0,0,0,7,0,0,0
