State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,MORENA DTO - MP6,E2W,ATHER ENERGY LTD,0,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MORENA DTO - MP6,E2W,BAJAJ AUTO LTD,0,0,0,0,0,0,3,5,1,12,7,5
Madhya Pradesh,MORENA DTO - MP6,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,8,4,5,6,8,4
Madhya Pradesh,MORENA DTO - MP6,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,2,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MORENA DTO - MP6,E2W,KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP),0,0,0,0,0,0,0,1,0,0,0,1
Madhya Pradesh,MORENA DTO - MP6,E2W,KLB KOMAKI PVT LTD,3,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MORENA DTO - MP6,E2W,OKAYA EV PVT LTD,2,3,7,3,3,2,0,5,2,2,1,5
Madhya Pradesh,MORENA DTO - MP6,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,6,3,22,14,17,18,16,11,11,20,12,9
Madhya Pradesh,MORENA DTO - MP6,E2W,PUR ENERGY PVT LTD,0,0,0,1,0,1,2,1,2,2,2,0
Madhya Pradesh,MORENA DTO - MP6,E2W,TVS MOTOR COMPANY LTD,0,0,4,0,0,2,0,21,12,71,25,38
Madhya Pradesh,MORENA DTO - MP6,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,0,0,0,3,6
Madhya Pradesh,MORENA DTO - MP6,E2W,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),0,4,2,0,0,0,2,0,0,0,1,0
